,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
Categories,"['E-Commerce', 'Unicorn']","['News', 'Sports', 'Gaming', 'Media', 'Unicorn']","['FinTech', 'Marketplace', 'Unicorn']","['Health', 'Marketplace', 'Unicorn']","['Biotech', 'Unicorn']","['Education', 'Software Development', 'Unicorn']","['Cars', 'Mobile', 'Unicorn']","['Tickets', 'Unicorn']","['Customer Service', 'Unicorn']","['Apps', 'Security', 'Mobile', 'Unicorn']","['Security', 'Mobile', 'Unicorn']","['Big Data', 'Security', 'Analytics', 'Unicorn']","['Productivity Software', 'Unicorn']","['E-Commerce', 'Unicorn']","['Storage', 'Enterprise Software', 'Cloud', 'Unicorn']","['Software Development', 'Unicorn']","['Local', 'Social Media', 'Unicorn']","['Storage', 'Security', 'Cloud', 'Unicorn']","['Classifieds', 'Unicorn']","['Insurance', 'Health', 'Unicorn']","['Human Resources', 'Unicorn']","['Big Data', 'Software Development', 'Cloud', 'Unicorn']","['Travel', 'Cars', 'Unicorn']","['Software Development', 'Unicorn']","['Internet of Things', 'Big Data', 'Analytics', 'Unicorn']","['Pharmaceuticals', 'Biotech', 'Health', 'Unicorn']","['Big Data', 'Marketing', 'Advertising', 'Analytics', 'Unicorn']","['Fashion', 'Marketplace', 'E-Commerce', 'Unicorn']","['Fashion', 'E-Commerce', 'Unicorn']","['Payments', 'Unicorn']","['Security', 'Analytics', 'Enterprise Software', 'Unicorn']","['Enterprise Software', 'E-Commerce', 'Unicorn']","['Nanotechnology', 'Biotech', 'Health', 'Unicorn']","['Enterprise Software', 'Unicorn']","['Payments', 'Unicorn']","['Food & Beverages', 'Local', 'Unicorn']","['Travel', 'Unicorn']","['Storage', 'Enterprise Software', 'Cloud', 'Unicorn']","['News', 'Media', 'Unicorn']","['Lending', 'FinTech', 'Unicorn']","['Analytics', 'Enterprise Software', 'Unicorn']","['Home', 'Unicorn']","['Payments', 'Local', 'Mobile', 'E-Commerce', 'Unicorn']","['Food & Beverages', 'Local', 'E-Commerce', 'Unicorn']","['Gaming', 'Mobile', 'Unicorn']","['Analytics', 'Software Development', 'Cloud', 'Unicorn']","['E-cigarettes', 'Unicorn']","['E-Commerce', 'Unicorn']","['Lending', 'FinTech', 'Unicorn']","['Home', 'Social Media', 'E-Commerce', 'Unicorn']","['Big Data', 'Lending', 'Unicorn']","['Gaming', 'Social Media', 'Unicorn']","['Pharmaceuticals', 'Biotech', 'Health', 'Unicorn']","['Travel', 'Advertising', 'Mobile', 'E-Commerce', 'Unicorn']","['Cars', 'Marketplace', 'Mobile', 'Unicorn']","['Drones', 'Unicorn']","['Cars', 'Marketplace', 'Mobile', 'Unicorn']","['Gaming', 'Social Media', 'Unicorn']","['E-Commerce', 'Unicorn']","['Marketing', 'Advertising', 'Social Media', 'Analytics', 'Unicorn']","['Fashion', 'E-Commerce', 'Unicorn']","['3D printing', 'Hardware', 'Analytics', 'Unicorn']","['Classifieds', 'Unicorn']","['Marketing', 'Advertising', 'Enterprise Software', 'Unicorn']","['Education', 'Unicorn']","['Human Resources', 'Unicorn']","['Cars', 'Marketplace', 'Unicorn']","['Security', 'Unicorn']","['Marketing', 'Mobile', 'E-Commerce', 'Unicorn']","['Sports', 'Gaming', 'Unicorn']","['Media', 'Enterprise Software', 'Unicorn']","['Home', 'E-Commerce', 'Unicorn']","['Human Resources', 'Unicorn']","['Media', 'Unicorn']","['Apps', 'Analytics', 'Software Development', 'Mobile', 'Unicorn']","['Home', 'E-Commerce', 'Unicorn']","['Apps', 'Enterprise Software', 'Software Development', 'Cloud', 'Unicorn']","['Messaging', 'Apps', 'Media', 'Unicorn']","['Security', 'Cloud', 'Unicorn']","['Software Development', 'Cloud', 'Unicorn']","['Social Media', 'Unicorn']","['Fashion', 'Media', 'Unicorn']","['Food & Beverages', 'Local', 'E-Commerce', 'Unicorn']","['Apps', 'Software Development', 'Unicorn']","['Food & Beverages', 'Local', 'Marketplace', 'Unicorn']","['Software Development', 'Unicorn']","['Food & Beverages', 'Unicorn']","['Advertising', 'Unicorn']","['Payments', 'FinTech', 'Unicorn']","['Messaging', 'Social Media', 'Mobile', 'Unicorn']","['Fashion', 'E-Commerce', 'Unicorn']","['Sales', 'Marketing', 'Cloud', 'Unicorn']","['Cloud', 'Unicorn']","['Cars', 'Marketplace', 'Mobile', 'Unicorn']","['Travel', 'Marketplace', 'Unicorn']","['Sports', 'E-Commerce', 'Unicorn']","['Messaging', 'Mobile', 'Unicorn']","['Hardware', 'Mobile', 'Unicorn']","['Cars', 'Marketplace', 'Mobile', 'Unicorn']","['Real Estate', 'Unicorn']","['Fashion', 'Unicorn']","['Travel', 'Unicorn']","['Apps', 'Social Media', 'Mobile', 'Unicorn']","['Media', 'Mobile', 'Unicorn']","['Lending', 'FinTech', 'Unicorn']","['Advertising', 'Unicorn']","['Analytics', 'Unicorn']","['Software Development', 'Mobile', 'Unicorn']","['Payments', 'Mobile', 'Unicorn']","['News', 'Media', 'Unicorn']","['Marketplace', 'E-Commerce', 'Unicorn']","['E-Commerce', 'Unicorn']","['Software Development', 'Unicorn']","['Education', 'Unicorn']","['Reviews', 'Food & Beverages', 'Local', 'Unicorn']","['Productivity Software', 'Unicorn']","['Marketplace', 'E-Commerce', 'Unicorn']","['Home', 'E-Commerce', 'Unicorn']","['Payments', 'Hardware', 'FinTech', 'Unicorn']","['Fashion', 'E-Commerce', 'Unicorn']","['Hardware', 'Mobile', 'Unicorn']","['Marketing', 'Analytics', 'Unicorn']","['Marketing', 'Analytics', 'Unicorn']","['Media', 'Unicorn']","['Sales', 'Productivity Software', 'Enterprise Software', 'Unicorn']","['Pharmaceuticals', 'Biotech', 'Health', 'Unicorn']","['Messaging', 'Social Media', 'Mobile', 'Unicorn']","['Marketing', 'Advertising', 'Unicorn']","['Internet of Things', 'Hardware', 'Health', 'Unicorn']","['Sports', 'Gaming', 'Unicorn']","['Internet of Things', 'Software Development', 'Cloud', 'Unicorn']","['Hardware', 'Gaming', 'Unicorn']","['FinTech', 'Unicorn']","['Biotech', 'Unicorn']","['Advertising', 'Mobile', 'Unicorn']","['Security', 'Cloud', 'Unicorn']","['Marketplace', 'Mobile', 'E-Commerce', 'Unicorn']","['Pharmaceuticals', 'Biotech', 'Health', 'Unicorn']","['Storage', 'Unicorn']","['Virtual Reality', 'Gaming', 'Unicorn']","['Insurance', 'Unicorn']","['E-Commerce', 'Unicorn']","['Marketplace', 'E-Commerce', 'Unicorn']","['Cars', 'Marketplace', 'Mobile', 'Unicorn']","['Energy', 'Unicorn']","['Real Estate', 'Unicorn']","['Security', 'Enterprise Software', 'Unicorn']","['Payments', 'Mobile', 'Unicorn']","['Storage', 'Cloud', 'Unicorn']","['Human Resources', 'Marketplace', 'Unicorn']","['Marketplace', 'E-Commerce', 'Unicorn']","['Lending', 'FinTech', 'Unicorn']","['Messaging', 'Enterprise Software', 'Unicorn']","['Biotech', 'Health', 'Unicorn']","['Tickets', 'Unicorn']","['Food & Beverages', 'E-Commerce', 'Unicorn']","['Payments', 'FinTech', 'Unicorn']","['Cars', 'Marketplace', 'Mobile', 'Unicorn']","['Fashion', 'E-Commerce', 'Unicorn']","['Pharmaceuticals', 'Biotech', 'Health', 'Unicorn']","['Lending', 'Marketplace', 'Unicorn']","['Space', 'Unicorn']","['Security', 'Cloud', 'Unicorn']"
Employees,100-500,100-500,100-500,500-1k,100-500,500-1k,501 - 1k,500-1k,500-1k,Unknown,100-500,1k-5k,1k-5k,100-500,100-500,500-1k,100-500,500-1k,1k-5k,100-500,1k-5k,500-1k,100-500,100-500,100-500,100-500,500-1k,500-1k,500-1k,1k-5k,100-500,100-500,100-500,500-1k,100-500,500-1k,100-500,1k-5k,100-500,100-500,500-1k,Unknown,10k+,100-500,500-1k,1k-5k,50-100,500-1k,100-500,100-500,500-1k,500-1k,100-500,1k-5k,1k-5k,100-500,100-500,500-1k,100-500,500-1k,100-500,100-500,100-500,1k-5k,50-100,100-500,1k-5k,500-1k,1k-5k,100-500,100-500,100-500,500-1k,100-500,500-1k,100-500,100-500,Unknown,100-500,500-1k,500-1k,500-1k,500-1k,1-50,100-500,100-500,500-1k,Unknown,100-500,100-500,500-1k,1k-5k,500-1k,1k-5k,1k-5k,1k-5k,100-500,1k-5k,10k+,10k+,100-500,100-500,100-500,100-500,50-100,500-1k,1k-5k,500-1k,100-500,1k-5k,100-500,Unknown,100-500,100-500,1k-5k,100-500,5k-10k,1k-5k,50-100,10k+,100-500,500-1k,500-1k,1k-5k,500-1k,100-500,500-1k,1k-5k,100-500,100-500,100-500,100-500,100-500,100-500,1k-5k,500-1k,100-500,100-500,100-500,100-500,1k-5k,10k+,1k-5k,Unknown,500-1k,500-1k,500-1k,100-500,1k-5k,500-1k,1k-5k,100-500,100-500,100-500,Unknown,100-500,100-500,1k-5k,100-500,100-500,1k - 5k,1k-5k,100-500
Founded,2006,2003,2011,2007,2006,2004,1994,2006,2001,2012,2007,2004,2003,2014,2009,2006,2010,2007,2008,2013,2013,2001,2006,2010,2014,2010,2007,2008,2010,2005,2007,1999,2005,2006,2010,2011,2011,2009,2006,2010,2010,2011,2015,2011,2008,2008,2006,2010,2009,2012,2012,2009,1997,2014,2011,2006,2015,2006,2007,2009,2011,2013,2007,2007,2004,2011,2012,1988,2000,2011,2005,2011,2007,2004,2008,2009,2009,2013,2009,2007,2010,2004,2012,2014,2008,2008,2012,2004,2010,2009,2007,2006,2009,2012,2008,1995,2009,2010,2009,2014,1999,199,2008,2002,2011,2007,2004,2008,2007,2006,2010,2011,2010,2011,2008,2008,2010,2009,2005,2014,2003,1999,2002,2006,2004,2000,2011,2000,1999,2009,2004,1998,2007,2003,2007,2008,2011,2001,2009,2011,2011,2007,2012,2014,2001,2010,2009,2008,2007,2009,2005,2006,2009,2009,2014,2010,2006,2012,2010,2008,2001,2002,2013
Founders,Yongchang geng & Gary Ge,"Jerome Armstrong, Markos Moulitsas, & Tyler Bleszinski",Ping An Insurance Company,"Cyrus Massoumi, Oliver Kharraz, & Nick Ganju",Linda Avey & Anne Wojcicki,"Fritz Onion, Aaron Skonnard, & Keith Sparkjoy",Anthony Tan & Tan Hooi Ling,"Kevin Hartz, Julia Hartz, & Renaud Visage",Borge Hald & Amy Pressman,Danian Chen,"James Burgess, Kevin Mahaffey, & John Hering","Alexander Karp, Stephen Cohen, Peter Thiel, Joe Lonsdale, & Nathan Gettings",Tom Gonser,"Marc Lore, Nate Faust, & Mike Hanrahan",Ash Ashutosh,Ross Mason,"Sarah Leary, Prakash Janakiraman, Nirav Tolia, & David Wiesen",Austin McChord,Pranay Chulet & Jiby Thomas,"Joshua Kushner, Kevin Nazemi, & Mario Schlosser",Laks Srini & Parker Conrad,"Christopher Lindblad, Frank R. Caufield, & Paul Pedersen","Frederic Mazzella, Francis Nappez, & Nicolas Brusson",Solomon Hykes,Brad Keywell & Eric Lefkofsky,"Noubar Afeyan, Robert Langer, & Stephane Bancel",David A. Steinberg & John Sculley,Jose Neves,"Neil Blumenthal, Andrew Hunt, David Gilboa, & Jeffrey Raider","Sebastian Siemiatkowski, Victor Jacobsson, & Niklas Adalberth",Orion Hindawi & David Hindawi,Patrick Grady,Gordon Sanghera & Hagan Bayley,Dave Stephens & Noah Eisner,John Collison & Patrick Collison,"Kolja Hebenstreit, Niklas Östberg, Markus Fuhrmann, Nikita Fahrenholz, & Claude Ritter",Melissa Yang & Luo Jun,"Dheeraj Pandey, Mohit Aron, & Ajeet Singh",Shane Smith & Suroosh Alvi,"Alex Tonelli, James Meekings, Andrew Mullinger, & Samir Desai",Josh James,Nan Liu,Tao Zhang,Dominik Richter & Thomas Griesel,"Gabriel Leydon, Halbert Nakagawa, & Michael Sherrill","Amr Awadallah, Christophe Bisciglia, & Mike Olson",Mark Weiss,Bom Kim,"Rob Frohwein, Marc Gorlin, & Kathryn Petralia",Jin Zan,"Paul Zhang, John Sun, Albert Goldstein, & Al Goldstein",Forrest Li,Unknown,Sanghyuk Lee,Bhavish Aggarwal & Ankit Bhati,Frank Wang,Uber,"Mike Li, Holly Liu, Wayne Chan, & Kevin Chou",Nian Chen,Ragy Thomas,Qi Chen,Joseph M. DeSimone,Jonas Nordlander & Filip Engelbert,Brian O'Kelley & Mike Nolet,Eric Yang & Ming Yang,"Joshua Reeves, Tomer London, & Edward Kim","Christian Bertermann, Hakan Koç, & Christopher Muhr",Pavel Baudiš and Eduard Kucera,Vijay Shekhar Sharma,"Matt Kalish, Paul Liberman, & Jason Robins",Matt Mullenweg,"Brian Lee, Jessica Alba, Sean Kane, & Christopher Gavigan",Robert Hohman & Tim Besse,Thomas Tull,"Jyoti Bansal, & Bhaskar Sunkara",Dr. Philipp Kreibohm,Nicolas Desmarais & Daniel Saks,Chan Sheng,"Matthew Prince, Michelle Zatlyn, & Lee Holloway","Dwight Merriman, Eliot Horowitz, & Kevin Ryan","Evan Sharp, Ben Silbermann, & Paul Sciarra","Vic Zaud, Samir Arora, Fernando Ruarte, Ernie Cicogna, Dianna Mullins, & Raj Narayan","Apoorva Mehta, Brandon Leonardo, & Max Mullen",Li Tao,Jia Kang & Xuhao Zhang,"Chris Wanstrath, PJ Hyett, & Tom Preston-Werner","Ilia Papas, Matt Salzberg, & Matthew Wadiak",Tian Ning,Kristo Kaarmann & Taavet Hinrikus,Ted Livingston & Christopher Best,"Alexandra Wilkis Wilson, Kevin Ryan, Alexis Maybank, & Michael Bryzek",Kirk Krappe,Doron Kempel,"John Zimmer, Matt Van Horn, Logan Green, & Marcus Cohn","Brian Chesky, Joe Gebbia, & Nathan Blecharczyk",Alan Trager & Mitch Trager,Uri Raz & Eric Setton,"Lin Bin, Li Wanqiang, Zhou Guangping, Huang Jiangji, Liu De, Hong Feng, Lei Jun, Chuan Wang, & Jiangji Wong",Garrett Camp & Travis Kalanick,"Wei Deng, Yongjin Li, & Zheng Wu",Jack Xu,Roberto Souviron,Wensheng Cai & Xinhong Wu,"Avery Wang, Philip Inghelbrecht, Chris Barton, & Dhiraj Mukherjee",Tracy Palandjian,Erich Wasserman & Greg Williams,Dhiraj C. Rajaram,"Evan Cooke, John Wolthuis, & Jeff Lawson",Dan Wagner,John Johnson & Jonah Peretti,Ke Wang,Lianglun Zhang,"Omer Kaplan, Tomer Bar Zeev, Tamir Carmi, Tomer Bar Zeev, Itay Milrad, Arnon Harish, Roi Milrad, & Eyal Milrad","David Stavens, Mike Sokolsky, & Sebastian Thrun",Pankaj Chaddah & Deepinder Goyal,Stepan Pachikov & Phil Libin,Kunal Bahl & Rohit Bansal,Adi Tatarko & Alon Cohen,Taoran Sun,Rocket Internet & Kinnevik,Zhang Huang,Ryan Finley,"Ryan Smith, Stuart Orgill, & Jared Smith",Daniel Ek & Martin Lorentzon,"Rob Christensen, Ken Krogue, & David Elkington",Ingmar Hoerr,Evan Spiegel & Bobby Murphy,"Ric Elias, Dan Feldstein, & Mark Brodsky",Alexander Asseily & Hosain Rahman,"Nigel Eccles, Tom Griffiths, & Lesley Eccles","Daniel Collins, Jahangir Mohammed, & Amit Gupta",Min-Liang Tan & Robert Krakoff,Kenneth Lin,Elizabeth Holmes,"Naveen Tewari, Amit Gupta, Abhay Singhal, & Mohit Saxena",Jay Chaudhry,Peter Szulczewski & Danny Zhang,"Andrew Thompson, George Savage, Mark Zdeblick, Patrick McQuown, Timothy Shey, Mark J. Zdeblick, George M. Savage, & Andrew M. Thompson",Moshe Yanai,Rony Abovitz,"Jack Ma, Pony Ma, & & Ma Mingzhe",Sachin Bansal & Binny Bansal,"Oliver Samwer, Marc Samwer, Alexander Samwer, Stefan Bruun, & Michael Mitterlehner",Charles Zhengyao Lu,K.R. Sridhar,"Jesse Middleton, Adam Neumann, & Miguel McKelvey",Todd McKinnon & Frederic Kerrest,Michael A. Liberty,Drew Houston & Arash Ferdowsi,"Sander Daniels, Marco Zappacosta, Jonathan Swanson, & Jeremy Tunnell",Ronaldo Mouchawar,John Witchel & Chris Larsen,"Jose Pino, Stewart Butterfield, Cal Henderson, Eric Costello, & Serguei Mourachov","Harlan Robins, Christopher Carlson, & Chad Robins",Beijing Weiying Technology,Hongfeng Hao,Pieter Does,Cheng Wei,Adam Goldenberg & Don Resler,Brian Slingerland & Scott J. Dylla,Zane Wang,Elon Musk,PJ Kirner & Andrew Rubin
